               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.022509,            0.011161,           0.0054476,             0.95996,             0.96084,             0.98212,             0.85803,            0.013934,           0.0025196,           0.0042673,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022063,            0.011112,           0.0053622,             0.96962,             0.95881,             0.98187,             0.85875,            0.014363,           0.0024984,           0.0040887,           0.0088124,           0.0088124,           0.0088124
                  73,             0.02221,            0.011031,           0.0053534,             0.96926,             0.95543,             0.98299,             0.86111,            0.013101,           0.0025237,           0.0038782,           0.0087804,           0.0087804,           0.0087804
                  74,            0.022568,            0.011423,           0.0055544,             0.96182,             0.96096,             0.97916,             0.85701,            0.013609,           0.0024701,           0.0040622,           0.0087479,           0.0087479,           0.0087479
                  75,            0.021845,            0.010985,           0.0051251,             0.96092,             0.95749,             0.97959,              0.8561,            0.013899,            0.002463,           0.0040407,           0.0087151,           0.0087151,           0.0087151
                  76,            0.022305,            0.011005,           0.0052048,             0.95496,             0.95376,              0.9795,             0.85324,             0.01332,           0.0024996,           0.0046343,            0.008682,            0.008682,            0.008682
                  77,            0.021988,            0.011015,           0.0052738,             0.97046,             0.95605,             0.98457,             0.86053,            0.013356,           0.0024904,           0.0042679,           0.0086485,           0.0086485,           0.0086485
                  78,             0.02215,            0.010875,           0.0054106,             0.95539,             0.96219,             0.98261,             0.86026,            0.013457,           0.0024899,           0.0040173,           0.0086146,           0.0086146,           0.0086146
                  79,            0.021867,            0.010701,           0.0054384,             0.95191,             0.96027,             0.98248,             0.85903,            0.014181,           0.0024692,           0.0037674,           0.0085805,           0.0085805,           0.0085805
                  80,            0.022118,            0.010975,           0.0054327,             0.97215,             0.96359,              0.9847,             0.86362,            0.014678,           0.0024822,           0.0038066,           0.0085459,           0.0085459,           0.0085459
                  81,            0.022586,            0.010955,           0.0052486,             0.95869,             0.97398,             0.98425,             0.86845,              0.0131,           0.0023812,           0.0036524,           0.0085111,           0.0085111,           0.0085111
                  82,            0.022089,            0.011018,           0.0052021,             0.97069,             0.95092,              0.9813,             0.86233,            0.013051,           0.0024737,           0.0038906,           0.0084759,           0.0084759,           0.0084759
                  83,            0.021864,            0.010705,           0.0050768,             0.96544,             0.96161,             0.98103,             0.86375,            0.013531,           0.0024523,           0.0037344,           0.0084404,           0.0084404,           0.0084404
                  84,            0.021166,            0.010624,           0.0049363,             0.96745,             0.96001,             0.98274,             0.86512,            0.013489,           0.0024018,           0.0036542,           0.0084046,           0.0084046,           0.0084046
                  85,            0.021724,            0.010763,           0.0050754,             0.96831,             0.96991,             0.98526,             0.86674,            0.014108,           0.0023694,           0.0035593,           0.0083684,           0.0083684,           0.0083684
                  86,            0.021661,            0.010619,           0.0051033,             0.96894,             0.96801,             0.98328,             0.86833,            0.012734,           0.0023762,           0.0035797,           0.0083319,           0.0083319,           0.0083319
                  87,            0.021601,            0.010709,           0.0050398,             0.95444,               0.966,             0.98089,             0.86307,            0.012694,           0.0024245,           0.0036382,           0.0082952,           0.0082952,           0.0082952
                  88,            0.021373,            0.010623,           0.0049752,             0.96926,             0.97026,             0.98326,             0.86994,            0.012581,           0.0023865,           0.0034724,           0.0082581,           0.0082581,           0.0082581
                  89,            0.021554,            0.010651,           0.0049038,             0.95567,             0.97285,             0.98554,              0.8644,            0.013034,           0.0023996,           0.0037239,           0.0082207,           0.0082207,           0.0082207
                  90,            0.021527,            0.010829,           0.0049385,             0.97547,             0.96724,             0.98366,             0.86786,            0.013167,            0.002386,           0.0034417,            0.008183,            0.008183,            0.008183
                  91,            0.021094,            0.010497,           0.0047242,             0.96071,             0.97633,             0.98325,             0.86439,            0.013204,           0.0023879,           0.0033609,            0.008145,            0.008145,            0.008145
                  92,            0.021684,             0.01048,           0.0048819,             0.97437,             0.96168,             0.98387,             0.86815,            0.012865,           0.0023988,           0.0034543,           0.0081068,           0.0081068,           0.0081068
                  93,             0.02113,            0.010603,           0.0048375,             0.96226,              0.9698,             0.98319,             0.87118,            0.012897,           0.0023419,           0.0035109,           0.0080682,           0.0080682,           0.0080682
                  94,            0.021322,            0.010476,           0.0048584,             0.96292,             0.96855,             0.98285,              0.8699,            0.013124,           0.0023513,           0.0035467,           0.0080294,           0.0080294,           0.0080294
                  95,            0.021535,             0.01072,           0.0049807,             0.96954,              0.9652,             0.98397,             0.86797,            0.013542,           0.0023148,            0.003341,           0.0079903,           0.0079903,           0.0079903
                  96,            0.021215,            0.010597,           0.0045837,             0.96748,             0.97202,             0.98696,             0.87149,            0.013339,           0.0023105,           0.0034862,           0.0079509,           0.0079509,           0.0079509
                  97,            0.021191,            0.010626,           0.0048219,             0.97855,             0.96102,             0.98569,             0.86709,            0.013034,           0.0023465,             0.00346,           0.0079112,           0.0079112,           0.0079112
                  98,            0.021151,            0.010514,             0.00491,              0.9719,             0.96397,             0.98363,             0.87222,            0.013158,           0.0023409,           0.0033803,           0.0078713,           0.0078713,           0.0078713
                  99,            0.020832,            0.010419,           0.0047821,             0.97086,             0.97465,             0.98441,             0.87434,            0.012639,           0.0023522,           0.0032783,           0.0078311,           0.0078311,           0.0078311
                 100,             0.02101,            0.010529,           0.0045754,             0.97605,             0.96738,             0.98553,             0.87347,            0.013154,           0.0023738,           0.0032363,           0.0077907,           0.0077907,           0.0077907
                 101,            0.021319,            0.010653,           0.0048007,             0.97768,             0.96514,             0.98598,             0.86943,            0.013491,           0.0023884,           0.0032965,             0.00775,             0.00775,             0.00775
                 102,            0.020639,            0.010413,           0.0045065,             0.96971,              0.9643,             0.98533,             0.86958,            0.014022,           0.0023696,           0.0035787,           0.0077091,           0.0077091,           0.0077091
                 103,            0.020778,            0.010499,           0.0046283,             0.97567,             0.96259,             0.98491,             0.87542,            0.012787,           0.0023263,            0.003468,           0.0076679,           0.0076679,           0.0076679
                 104,            0.020569,            0.010518,            0.004615,             0.96626,             0.96426,             0.98543,             0.87638,            0.012691,           0.0023106,            0.003626,           0.0076265,           0.0076265,           0.0076265
                 105,            0.020697,            0.010358,           0.0045523,             0.97059,             0.97628,              0.9855,             0.87385,            0.012821,           0.0022756,           0.0034498,           0.0075848,           0.0075848,           0.0075848
                 106,            0.021025,             0.01041,           0.0047505,             0.97417,             0.97051,             0.98541,             0.87764,            0.012569,           0.0023097,           0.0035233,            0.007543,            0.007543,            0.007543
                 107,             0.02083,            0.010692,           0.0046253,             0.97661,             0.96567,               0.986,             0.87742,            0.012679,           0.0023342,           0.0034451,           0.0075009,           0.0075009,           0.0075009
                 108,            0.020975,            0.010365,           0.0048845,             0.97281,             0.96514,             0.98483,             0.87462,             0.01258,           0.0023512,           0.0035164,           0.0074585,           0.0074585,           0.0074585
